iso2,standardised_legal_form_orbis,national_legal_form_orbis
CV,Non profit organisations,Chamber of commerce and industry
CV,Public authorities,Institution
CV,Public authorities,Municipal government body
CV,Non profit organisations,Health institution
CV,Non profit organisations,Educational institution
CV,Non profit organisations,Religious institution
CV,Other legal forms,Trade union
CY,Private limited companies,Private limited company
CY,Foreign companies,Overseas company
CY,Public limited companies,Public limited company
CY,Companies with unknown/unrecorded legal form,NA
CY,Other legal forms,Business name
CY,Public limited companies,Insurance stock company
CY,Partnerships,Partnership
CY,Non profit organisations,Limited company by guarantee
CY,Other legal forms,Public limited company by shares and by guarantee
CY,Branches,Branch of a foreign company
CY,Other legal forms,Limited company by shares and by guarantee
CY,Public authorities,Semi-government body
CY,Other legal forms,Fund
CY,Branches,Branch
CY,Private limited companies,Limited company by shares
CY,Other legal forms,Investment fund
CY,Other legal forms,Open-ended investment company
CY,Other legal forms,Unlisted closed-ended investment company
CY,Other legal forms,Pension fund
CY,Partnerships,Cooperative company
CY,Public limited companies,European company
CY,Other legal forms,Company according to special law
CY,Sole traders/proprietorships,Sole proprietorship
CZ,Public limited companies,Joint stock company - A.S.
CZ,Private limited companies,Limited liability company - S.R.O.
CZ,Public limited companies,European company
CZ,Other legal forms,Public commercial company - V.O.S.
CZ,Companies with unknown/unrecorded legal form,NA
CZ,Public limited companies,Insurance stock company
CZ,Other legal forms,State company - S.P.
CZ,Branches,Branch of a foreign company
CZ,Partnerships,Limited partnership - K.S.
CZ,Partnerships,Cooperative company
CZ,Non profit organisations,Educational institution
CZ,Public authorities,Local government unit or organization
CZ,Sole traders/proprietorships,Entrepreneur
CZ,Non profit organisations,Health insurance company
CZ,Public authorities,Central bank
CZ,Public authorities,Governmental organization
CZ,Public authorities,Community (local council)
CZ,Public authorities,Regional council
CZ,Other legal forms,"Fund (of national property, land)"
CZ,Non profit organisations,Public research institution - V.V.I.
CZ,Non profit organisations,"Association (league, union, society, club, etc.)"
CZ,Non profit organisations,Religious institution
CZ,Non profit organisations,Charitable organization
CZ,Foreign companies,Subsidiary establishment or other organizational unit
CZ,Non profit organisations,Society
CZ,Other legal forms,Special-interest association of legal persons
CZ,Sole traders/proprietorships,Foreign person
CZ,Other legal forms,Trade union
CZ,Other legal forms,Endowment fund
CZ,Other legal forms,Branch society
CZ,Non profit organisations,Institution
CZ,Non profit organisations,Public benefit corporation - O.P.S.
CZ,Other legal forms,Community of owners
CZ,Non profit organisations,Chamber (professional chambers excluded)
CZ,Other legal forms,Intermunicipal company
CZ,Non profit organisations,"Professional organization, professional chamber"
CZ,Other legal forms,Organizational unit of association
CZ,Public authorities,Arbitration court
CZ,Non profit organisations,Hunting community
CZ,Other legal forms,Commodity exchange
CZ,Other legal forms,Political party
CZ,Other legal forms,Organizational unit of organization with an international element
CZ,Non profit organisations,"International organization, international association"
CZ,Non profit organisations,Organization with interest in international NGOs
CZ,Other legal forms,European economic interest group
CZ,Other legal forms,Company or economic facility of association
CZ,Non profit organisations,"Society, religion organization/union"
CZ,Partnerships,European cooperative company
CZ,Non profit organisations,Mutual company
CZ,Branches,Branch
CZ,Other legal forms,Fund
CZ,Other legal forms,Investment fund
CZ,Public authorities,Embassy
CZ,Non profit organisations,"Foreign centre for culture and information, agency for radio, the press and television"
CZ,Other legal forms,Mutual fund
CZ,Public authorities,Administration
CZ,Other legal forms,Pension fund
CZ,Other legal forms,Open-ended investment company
CZ,Other legal forms,Joint venture company
CZ,Other legal forms,Organizational unit of political party
DE,Public limited companies,European company - SE
DE,Public limited companies,Public limited company - AG
DE,Private limited companies,Limited liability company - GmbH
DE,Partnerships,Registered cooperative - eG
DE,Other legal forms,Foundation & partnership
DE,Public limited companies,Joint stock company
DE,Private limited companies,Limited liability company & partnership - GmbH & Co. KG
DE,Companies with unknown/unrecorded legal form,NA
DE,Non profit organisations,Mutual insurance company - VVaG
DE,Partnerships,General partnership - OHG
DE,Partnerships,Limited partnership - KG
DE,Foreign companies,Foreign company
DE,Public limited companies,Public limited partnership by shares - AG & Co. KGaA
DE,Public authorities,Public corporation
DE,Public limited companies,Public limited partnership - AG & Co. KG
DE,Partnerships,Limited partnership by shares - KGaA
DE,Public authorities,Institution under public law
DE,Private limited companies,Limited liability company & partnership by shares - GmbH & Co. KGaA
DE,Non profit organisations,Private foundation
DE,Non profit organisations,Foundation
DE,Partnerships,European cooperative company - SCE
DE,Non profit organisations,Association - Verein
DE,Public limited companies,Insurance stock company
DE,Sole traders/proprietorships,Liberal profession
DE,Sole traders/proprietorships,Sole proprietorship
DE,Sole traders/proprietorships,Registered individual business - e.U.
DE,Public limited companies,Public company
DE,Other legal forms,Civil right partnership - GbR
DE,Non profit organisations,Registered association - eV
DE,Public authorities,Public utility
DE,Partnerships,Non statutory partnership - BGB
DE,Sole traders/proprietorships,Commercial enterprise
DE,Private limited companies,Entrepreneurial company (limited liability) - UG
DE,Private limited companies,Entrepreneurial company (limited liability) & partnership - UG & Co. KG
DE,Other legal forms,European economic interest group - EWIV
DE,Other legal forms,Association & partnership - Verein & Co. KG
DE,Other legal forms,Agricultural company
DE,Partnerships,Limited liability partnership
DE,Branches,Branch
DE,Non profit organisations,Non profit limited liability company
DE,Partnerships,Partnership
DE,Partnerships,Registered cooperative & partnership - eG & Co. KG
DE,Partnerships,Cooperative company
DE,Partnerships,Limited partnership & partnership - KG & Co. KG
DE,Partnerships,General partnership & partnership - OHG & Co. KG
DE,Other legal forms,Fund
DE,Other legal forms,Investment fund
DE,Private limited companies,Entrepreneurial company (limited liability) & partnership by shares - UG & Co. KGaA
DE,Other legal forms,Open-ended investment company
DE,Non profit organisations,Religious institution
DE,Public authorities,Legal entity of public law
DE,Other legal forms,Unregistered association
DE,Non profit organisations,Civil right foundation
DE,Partnerships,Economic association
DE,Other legal forms,Unincorporated association
DE,Sole traders/proprietorships,Individual company
DE,Private limited companies,Incorporated business
DJ,Branches,Branch of a foreign company
DJ,Companies with unknown/unrecorded legal form,NA
DJ,Public limited companies,Limited company
DJ,Private limited companies,Private limited company
DJ,Sole traders/proprietorships,Sole trader
DJ,Private limited companies,Limited liability company
DJ,Other legal forms,Establishment
DJ,Public authorities,Public authority
DJ,Non profit organisations,Association
DK,Public limited companies,Limited company - A/S
DK,Other legal forms,Commercial foundation
DK,Companies with unknown/unrecorded legal form,NA
DK,Private limited companies,Private limited company - ApS
DK,Partnerships,Cooperative company with limited liability
DK,Branches,Branch of a foreign company
DK,Public limited companies,Insurance company
DK,Other legal forms,Association with limited liability - F.M.B.A.
DK,Private limited companies,Limited liability company - S.M.B.A. & F.M.B.A.
DK,Public limited companies,Public limited company
DK,Partnerships,Limited partnership by shares - P/S
DK,Other legal forms,Special financial business
DK,Public limited companies,Limited company (Faroe Islands) - A/S
DK,Non profit organisations,Foundation
DK,Partnerships,General partnership - I/S
DK,Non profit organisations,Association
DK,Partnerships,Limited partnership - K/S
DK,Partnerships,Cooperative company
DK,Private limited companies,Private limited company (Faroe Islands) - ApS
DK,Public limited companies,Insurance stock company
DK,Foreign companies,Foreign company
DK,Other legal forms,Entrepreneurial company
DK,Non profit organisations,Mutual company
DK,Branches,Branch
DK,Sole traders/proprietorships,Sole proprietorship
DK,Non profit organisations,Voluntary association
DK,Sole traders/proprietorships,Private owned minor business
DK,Non profit organisations,Religious institution
DK,Non profit organisations,Registered religious community
DK,Other legal forms,Joint ownership shipping company
DK,Public authorities,Government institution
DK,Other legal forms,Deceased estate
DK,Public authorities,Municipality
DK,Other legal forms,Open-ended investment company
DK,Other legal forms,Fund
DK,Public authorities,County/region
DK,Other legal forms,Company being founded
DK,Other legal forms,Investment fund
DM,Public limited companies,Public limited company
DM,Companies with unknown/unrecorded legal form,NA
DM,Public limited companies,Corporation
DO,Companies with unknown/unrecorded legal form,NA
DO,Public limited companies,Insurance stock company
DO,Public limited companies,Public limited company - SA
DO,Branches,Branch
DO,Private limited companies,Limited liability company - SRL
DO,Foreign companies,Foreign company
DO,Public limited companies,Limited company - SA / C POR A
DO,Private limited companies,One-person company with limited liability - EIRL
DO,Private limited companies,"Limited company, simplified - SAS"
DO,Sole traders/proprietorships,Sole trader
DO,Partnerships,General partnership
DO,Partnerships,Limited partnership by shares
DO,Partnerships,Limited partnership
DZ,Public limited companies,Limited company by shares
DZ,Private limited companies,Limited liability company
DZ,Other legal forms,State owned economic company
DZ,Companies with unknown/unrecorded legal form,NA
DZ,Private limited companies,One-person company with limited liability
DZ,Non profit organisations,Association
DZ,Partnerships,General partnership
DZ,Public limited companies,Insurance stock company
DZ,Public authorities,Public institution of an industrial and commercial nature
DZ,Foreign companies,Foreign company
DZ,Partnerships,Limited partnership
DZ,Sole traders/proprietorships,Sole trader
DZ,Branches,Branch
DZ,Partnerships,Limited partnership by shares
DZ,Foreign companies,Foreign company representation
DZ,Public authorities,Local government company
DZ,Other legal forms,Real estate company
EC,Companies with unknown/unrecorded legal form,NA
EC,Public limited companies,Insurance stock company
EC,Public limited companies,Limited company - SA
EC,Private limited companies,Limited liability company - CIA Ltda
EC,Branches,Branch
EC,Other legal forms,Consortium
EC,Branches,Branch of a foreign company
EC,Other legal forms,Andean multinational company
EC,Other legal forms,Mixed economy company - CEM
EC,Partnerships,Limited partnership by shares
EC,Other legal forms,Agricultural property
EC,Other legal forms,Agricultural company
EC,Non profit organisations,Association
EC,Public limited companies,Public limited company
EE,Public limited companies,Joint stock company - AS
EE,Branches,Branch
EE,Private limited companies,Private limited company - O<U+00DC>
EE,Partnerships,Cooperative company
EE,Companies with unknown/unrecorded legal form,NA
EE,Foreign companies,Foreign company
EE,Non profit organisations,Foundation
EE,Public authorities,State agency
EE,Partnerships,Limited partnership - U<U+00DC>
EE,Public limited companies,European company
EE,Non profit organisations,Non profit association
EE,Partnerships,European economic association
EE,Sole traders/proprietorships,Sole trader - FIE
EE,Partnerships,General partnership - T<U+00DC>
EE,Other legal forms,Fund
EE,Other legal forms,Condominium
EE,Non profit organisations,Association
EE,Public authorities,International organization
EE,Other legal forms,Investment fund
EE,Other legal forms,Unlisted closed-ended investment company
EE,Other legal forms,Open-ended investment company
EE,Other legal forms,Closed-ended investment company
EE,Public authorities,Municipal administrative agency
EE,Public authorities,State institution
EE,Public authorities,Government agency
EE,Public limited companies,Public limited company
EG,Other legal forms,Government owned corporation
EG,Public limited companies,Public limited company - SAE
EG,Public authorities,Government body
EG,Companies with unknown/unrecorded legal form,NA
EG,Partnerships,Limited partnership
EG,Partnerships,General partnership
EG,Other legal forms,Free zone joint stock company
EG,Private limited companies,Limited liability company
EG,Foreign companies,Foreign (registered) company's office
EG,Non profit organisations,Non profit organization
EG,Other legal forms,Joint venture company
EG,Public limited companies,Insurance stock company
EG,Sole traders/proprietorships,Sole proprietorship
EG,Other legal forms,Free zone limited liability company
EG,Other legal forms,Free zone general partnership
EG,Other legal forms,Free zone company
EG,Other legal forms,Company
EG,Other legal forms,Not registered
EG,Branches,Branch
EG,Non profit organisations,Cooperative society (non profitable organization for public interest)
EG,Other legal forms,Non-legal entity
EG,Other legal forms,Fund
ER,Public limited companies,Limited company
ER,Companies with unknown/unrecorded legal form,NA
ER,Private limited companies,Private limited company
ER,Sole traders/proprietorships,Proprietorship company
ER,Private limited companies,Limited liability company
ER,Branches,Branch of a foreign company
ES,Public limited companies,Joint stock company
ES,Public limited companies,Sole corporation
ES,Private limited companies,One-person company with limited liability - SLU
ES,Private limited companies,Limited liability company - SL
ES,Non profit organisations,Association
ES,Non profit organisations,Religious institution
ES,Public limited companies,Public limited company - SA
ES,Partnerships,Limited partnership
ES,Companies with unknown/unrecorded legal form,NA
ES,Public authorities,Public body
ES,Partnerships,Cooperative company
ES,Public limited companies,Insurance stock company
ES,Other legal forms,Investment fund
ES,Partnerships,General partnership
ES,Foreign companies,Foreign company
ES,Public limited companies,Collective investment institutions managing company
ES,Private limited companies,Professional limited liability company
ES,Public limited companies,Sports joint stock company - SAD
ES,Other legal forms,Consortium
ES,Public limited companies,Venture capital company
ES,Non profit organisations,Mutual company
ES,Public limited companies,Labor joint stock company - SAL
ES,Branches,Branch of a foreign company
ES,Other legal forms,Investment company
ES,Private limited companies,Labor limited liability company - SLL
ES,Partnerships,Civil company - SC
ES,Branches,Branch
ES,Private limited companies,Limited liability company - new company - SL
ES,Public limited companies,Professional joint stock company
ES,Private limited companies,Limited liability company - successive formation - SL
ES,Other legal forms,Joint ownership company
ES,Other legal forms,Investment company with variable capital - icvc
ES,Public authorities,Government agency
ES,Public authorities,Administration
ES,Public authorities,Local government body
ES,Other legal forms,Company (by public law)
ES,Non profit organisations,Foundation
ES,Other legal forms,Agricultural company
ES,Other legal forms,Fund
ES,Other legal forms,Pension fund
ES,Other legal forms,Community of owners
ES,Other legal forms,Securitization fund
ES,Other legal forms,Economic interest group - AIE
ES,Sole traders/proprietorships,Sole trader
ES,Other legal forms,Open-ended investment company
ET,Public limited companies,Limited company
ET,Public authorities,Public authority
ET,Private limited companies,Private limited company
ET,Private limited companies,Limited liability company
ET,Companies with unknown/unrecorded legal form,NA
ET,Sole traders/proprietorships,Sole trader
ET,Partnerships,General partnership
ET,Partnerships,Cooperative company
ET,Non profit organisations,Association
ET,Branches,Branch
ET,Branches,Branch of a foreign company
FI,Public limited companies,Public limited company - OYJ
FI,Private limited companies,Private limited company - OY
FI,Partnerships,Cooperative company
FI,Companies with unknown/unrecorded legal form,NA
FI,Public limited companies,Insurance stock company
FI,Public authorities,Joint municipal authority
FI,Non profit organisations,Mutual insurance company
FI,Partnerships,Limited partnership - KY
FI,Non profit organisations,Association
FI,Other legal forms,Juridical person
FI,Other legal forms,State company
FI,Branches,Branch of a foreign company
FI,Non profit organisations,Foundation
FI,Public limited companies,European company
FI,Public authorities,Governmental or municipal entity
FI,Non profit organisations,Non profit association
FI,Other legal forms,Mutual real estate company
FI,Sole traders/proprietorships,Private trader
FI,Foreign companies,Foreign company
FI,Partnerships,General partnership - AY
FI,Other legal forms,Forest owners
FI,Other legal forms,Pension fund
FI,Other legal forms,Bankruptcy estate
FI,Partnerships,Cooperative bank
FI,Public authorities,Government body
FI,Other legal forms,Condominium
FI,Other legal forms,Company with joint liability to tax withholding
FI,Non profit organisations,Religious institution
FI,Non profit organisations,Forestry association
FI,Other legal forms,Deceased estate
FI,Partnerships,Business partnership
FI,Non profit organisations,Chamber of commerce and industry
FI,Non profit organisations,Insurance association
FI,Partnerships,Building cooperative company
FI,Other legal forms,European economic interest group
FI,Non profit organisations,"Association (league, union, society, club, etc.)"
FI,Other legal forms,Economic interest group
FI,Other legal forms,Shipping company
FI,Other legal forms,Insurance fund
FI,Other legal forms,Unemployment fund
FI,Partnerships,Savings bank
FI,Partnerships,Economic association
FI,Private limited companies,Insurance company
FI,Other legal forms,Real estate company
FI,Branches,Branch
FI,Public authorities,Municipality
FI,Non profit organisations,Registered association
FI,Other legal forms,Municipal company
FI,Other legal forms,Open-ended investment company
FI,Other legal forms,Fund
FI,Other legal forms,Investment fund
FJ,Public limited companies,Public limited company
FJ,Companies with unknown/unrecorded legal form,NA
FJ,Branches,Branch
FJ,Public limited companies,Insurance stock company
FM,Public limited companies,Insurance stock company
FM,Companies with unknown/unrecorded legal form,NA
FM,Branches,Branch
FR,Public limited companies,European company
FR,Public limited companies,Limited company - SA
FR,Public limited companies,Limited company with managing body
FR,Companies with unknown/unrecorded legal form,NA
FR,Private limited companies,"One-person limited company, simplified - SASU"
FR,Private limited companies,"Limited company, simplified - SAS"
FR,Public authorities,Public institution of an industrial and commercial nature - EPIC
FR,Foreign companies,Company with foreign rights
FR,Partnerships,Limited partnership by shares - SCA
FR,Public limited companies,Insurance stock company
FR,Non profit organisations,Mutual insurance company
FR,Partnerships,General partnership - SNC
FR,Private limited companies,Limited liability company - SARL
FR,Partnerships,Cooperative company - SC
FR,Public limited companies,Public limited company
FR,Partnerships,Limited partnership - SCS
FR,Other legal forms,Economic interest group - GIE
FR,Non profit organisations,Association
FR,Private limited companies,One-person company with limited liability - EURL
FR,Foreign companies,Foreign company
FR,Partnerships,Civil company
FR,Branches,Branch
FR,Sole traders/proprietorships,Personal firm
FR,Other legal forms,European economic interest group - GEIE
FR,Public authorities,Public firm
FR,Other legal forms,Private institution
FR,Other legal forms,Works council
FR,Non profit organisations,Foundation
FR,Private limited companies,Agricultural company with limited liability - EARL
FR,Partnerships,Holding company of profession
FR,Private limited companies,Managing partner
FR,Other legal forms,Unregistered association - SEP
FR,Other legal forms,De facto corporation - SDF
FR,Other legal forms,Trade union
FR,Sole traders/proprietorships,Liberal profession
FR,Other legal forms,Agricultural company
FR,Public authorities,Administration
FR,Sole traders/proprietorships,Commercial agent
FR,Other legal forms,Investment fund
FR,Partnerships,Savings bank
FR,Other legal forms,Fund
FR,Other legal forms,Undertaking for collective investment in transferable securities
FR,Other legal forms,Mutual fund for investment
FR,Other legal forms,Jointly held property
FR,Other legal forms,Real estate company
FR,Other legal forms,Investment company with variable capital
FR,Other legal forms,Corporate mutual fund for investment
FR,Other legal forms,Mutual fund for investment in innovation
FR,Other legal forms,Unlisted closed-ended investment company
GA,Public limited companies,Limited company
GA,Public limited companies,Public limited company
GA,Companies with unknown/unrecorded legal form,NA
GA,Private limited companies,Private limited company
GA,Private limited companies,Limited liability company
GA,Branches,Branch of a foreign company
GA,Other legal forms,Establishment
GA,Sole traders/proprietorships,Sole trader
GA,Non profit organisations,Association
GA,Public authorities,Public authority
GA,Partnerships,Limited partnership
GA,Partnerships,Cooperative society
GA,Partnerships,General partnership
GB,Public limited companies,Public limited company
GB,Public limited companies,"Public company, quoted"
GB,Foreign companies,Foreign company
GB,Private limited companies,Private limited company
GB,Public limited companies,"Public company, not quoted"
GB,Partnerships,Limited liability partnership - LLP
GB,Public limited companies,Limited company
GB,Other legal forms,Unlimited company
GB,Non profit organisations,Limited company by guarantee
GB,Companies with unknown/unrecorded legal form,NA
GB,Non profit organisations,Industrial and provident society - IPS
GB,Public limited companies,"Public company, AIM"
GB,Partnerships,Limited partnership - LP
GB,Other legal forms,Lloyd's
GB,Other legal forms,Unincorporated company
GB,Other legal forms,Public investment trust
GB,Public limited companies,Insurance stock company
GB,Non profit organisations,Charitable organization
GB,Other legal forms,Not companies act
GB,Non profit organisations,Royal charter
GB,Non profit organisations,Mutual company
GB,Other legal forms,Investment trust
GB,Branches,Branch of an unincorporated company
GB,Non profit organisations,Friendly society
GB,Private limited companies,Limited liability company - LLC
GB,Other legal forms,Trust
GB,Branches,Branch
GB,Other legal forms,Investment fund
GB,Public authorities,Government entity
GB,Other legal forms,Fund
GB,Partnerships,Partnership
GB,Private limited companies,Incorporated business
GB,Non profit organisations,Educational institution
GB,Other legal forms,Protected cell company
GB,Other legal forms,European economic interest group
GB,Other legal forms,Discretionary trust
GB,Partnerships,General partnership
GB,Non profit organisations,"Association (league, union, society, club, etc.)"
GB,Sole traders/proprietorships,Sole trader
GB,Other legal forms,Investment club
GB,Other legal forms,Pension fund
GB,Non profit organisations,Association
GB,Non profit organisations,Foundation
GB,Sole traders/proprietorships,Sole proprietorship
GB,Other legal forms,Investment company with variable capital
GB,Private limited companies,Limited company by shares
GB,Other legal forms,Protected cell
GB,Non profit organisations,Society
GB,Other legal forms,Trade union
GB,Non profit organisations,Religious institution
GB,Non profit organisations,Exempt charity
GB,Other legal forms,Incorporated cell
GB,Other legal forms,International business company
GB,Other legal forms,Incorporated cell company
GB,Other legal forms,Unregulated fund
GB,Partnerships,Separate limited partnership
GB,Partnerships,Incorporated limited partnership
GB,Non profit organisations,Assurance company
GB,Other legal forms,Open-ended investment company
GB,Other legal forms,Unit trust
GB,Other legal forms,Closed-ended investment company
GB,Other legal forms,Private limited company by shares and by guarantee
GB,Other legal forms,Unlisted closed-ended investment company
GB,Foreign companies,Part XII registration (Gibraltar)
GD,Companies with unknown/unrecorded legal form,NA
GD,Public limited companies,Public limited company
GD,Other legal forms,Fund
GE,Private limited companies,Limited liability company
GE,Public limited companies,Joint stock company
GE,Foreign companies,Foreign company
GE,Companies with unknown/unrecorded legal form,NA
GE,Public limited companies,Insurance stock company
GE,Non profit organisations,Non profit organization
GE,Public authorities,State institution
GE,Public authorities,Public agency
GE,Non profit organisations,Foreign non profit organization
GE,Partnerships,Limited partnership
GE,Sole traders/proprietorships,Sole trader
GE,Partnerships,General partnership
GE,Partnerships,Cooperative company
GE,Foreign companies,Representative office
GE,Public authorities,Local government body
GE,Other legal forms,State company
GE,Branches,Branch
GH,Companies with unknown/unrecorded legal form,NA
GH,Public limited companies,Public limited company
GH,Public limited companies,Insurance stock company
GH,Private limited companies,Private limited company
GH,Sole traders/proprietorships,Sole proprietorship
GH,Foreign companies,Foreign company
GH,Non profit organisations,Limited company by guarantee
GH,Partnerships,Partnership
GH,Other legal forms,Unlimited company
GH,Private limited companies,Limited company by shares
GH,Branches,Branch
GM,Private limited companies,Private limited company
GM,Public limited companies,Limited company
GM,Private limited companies,Limited liability company
GM,Companies with unknown/unrecorded legal form,NA
GM,Public limited companies,Public limited company
GM,Sole traders/proprietorships,Sole trader
GM,Partnerships,Limited partnership
GM,Branches,Branch of a foreign company
GN,Companies with unknown/unrecorded legal form,NA
GN,Public limited companies,Limited company
GN,Private limited companies,Limited liability company
GN,Private limited companies,Private limited company
GN,Sole traders/proprietorships,Sole trader
GN,Branches,Branch of a foreign company
GN,Other legal forms,Establishment
GN,Public authorities,Public authority
GN,Branches,Branch
GN,Non profit organisations,Foundation
GQ,Private limited companies,Private limited company
GQ,Public limited companies,Limited company
GQ,Companies with unknown/unrecorded legal form,NA
GQ,Private limited companies,Limited liability company
GQ,Branches,Branch of a foreign company
GQ,Sole traders/proprietorships,Sole trader
GQ,Public authorities,Public authority
GQ,Non profit organisations,Association
GR,Public limited companies,Limited company - A.E.
GR,Companies with unknown/unrecorded legal form,NA
GR,Sole traders/proprietorships,Sole proprietorship
GR,Non profit organisations,Public institution
GR,Partnerships,Limited liability cooperative company
GR,Private limited companies,Limited liability company - sole shareholder
GR,Partnerships,Limited partnership - E.E.
GR,Partnerships,Cooperative company
GR,Foreign companies,Foreign company
GR,Public authorities,Legal entity of private law
GR,Public limited companies,Insurance stock company
GR,Other legal forms,Joint venture company
GR,Private limited companies,Limited liability company - E.P.E.
GR,Private limited companies,Private capital company - I.K.E.
GR,Partnerships,General partnership - O.E.
GR,Private limited companies,One-person private capital company
GR,Other legal forms,Cooperative union
GR,Other legal forms,Municipal company
GR,Non profit organisations,Public organization
GR,Other legal forms,Shipping company
GR,Non profit organisations,Civil organization of professionals
GR,Other legal forms,Special transportation company
GR,Non profit organisations,Society
GR,Branches,Branch
GR,Non profit organisations,Association of professionals
GR,Other legal forms,Investment fund
GR,Other legal forms,Open-ended investment company
GR,Other legal forms,Mutual fund for investment
GR,Other legal forms,Fund
GR,Foreign companies,Foreign company's representative office
GR,Non profit organisations,Civil society
GR,Other legal forms,Joint inheritance rights
GR,Non profit organisations,Non profit organization
GR,Other legal forms,European economic interest group
GR,Public authorities,Embassy
GR,Partnerships,European cooperative company
GT,Companies with unknown/unrecorded legal form,NA
GT,Public limited companies,Insurance stock company
GT,Branches,Branch
GT,Public limited companies,Public limited company
GT,Public limited companies,Limited company
GW,Companies with unknown/unrecorded legal form,NA
GW,Private limited companies,Limited liability company
GW,Private limited companies,Private limited company
GW,Non profit organisations,Association
GW,Public limited companies,Limited company
GW,Public authorities,Public authority
GY,Public limited companies,Public limited company
GY,Companies with unknown/unrecorded legal form,NA
GY,Non profit organisations,Mutual company
GY,Foreign companies,Foreign company
GY,Public limited companies,Limited company
GY,Non profit organisations,Religious institution
GY,Non profit organisations,Association
GY,Non profit organisations,Educational institution
GY,Branches,Branch
GY,Non profit organisations,Foundation
HN,Companies with unknown/unrecorded legal form,NA
HN,Public limited companies,Insurance stock company
HN,Public limited companies,Public limited company
HN,Branches,Branch
HN,Public limited companies,Corporation with variable capital
HN,Private limited companies,Limited liability company
HR,Public limited companies,Joint stock company - d.d.
HR,Private limited companies,Limited liability company - d.o.o.
HR,Partnerships,Limited partnership - k.d.
HR,Companies with unknown/unrecorded legal form,NA
HR,Public limited companies,Insurance stock company
HR,Non profit organisations,Institution
HR,Branches,Branch of a foreign company
HR,Sole traders/proprietorships,Sole trader - t.p.
HR,Partnerships,Cooperative company
HR,Sole traders/proprietorships,Sole proprietorship
HR,Private limited companies,"Limited liability company, simplified - j.d.o.o."
HR,Partnerships,General partnership - j.t.d.
HR,Non profit organisations,Association
HR,Other legal forms,Economic interest group - G.I.U.
HR,Other legal forms,State owned company
HR,Branches,Branch
HR,Other legal forms,Investment fund
HR,Other legal forms,Fund
HT,Companies with unknown/unrecorded legal form,NA
HT,Branches,Branch
HU,Private limited companies,Private limited company - ZRT
HU,Public limited companies,Public limited company - NYRT
HU,Private limited companies,Limited liability company - KFT
HU,Branches,Branch of a foreign company
HU,Public authorities,Government body
HU,Partnerships,Limited partnership - Bt.
HU,Companies with unknown/unrecorded legal form,NA
HU,Partnerships,General partnership - KKT
HU,Other legal forms,Trade union
HU,Partnerships,Cooperative company
HU,Public limited companies,European company
HU,Non profit organisations,Foundation
HU,Non profit organisations,Chamber of commerce and industry
HU,Sole traders/proprietorships,Sole proprietorship - e.v./e.c.
HU,Non profit organisations,Association
HU,Other legal forms,Pension fund
HU,Non profit organisations,Mutual company
HU,Non profit organisations,Public water utilities association
HU,Non profit organisations,Religious institution
HU,Non profit organisations,Forestry association
HU,Partnerships,Law firm
HU,Foreign companies,Foreign company representation
HU,Non profit organisations,Public benefit non profit institution - KHT
HU,Other legal forms,Political party
HU,Other legal forms,Executive office
HU,Public limited companies,Insurance stock company
HU,Partnerships,European economic association
HU,Other legal forms,Notary's office
HU,Partnerships,European cooperative company
HU,Branches,Branch
HU,Partnerships,Economic association
HU,Other legal forms,Joint venture company - KV
HU,Partnerships,Business partnership - GMK
HU,Other legal forms,Fund
HU,Public authorities,Legal entity of public law
HU,Other legal forms,Investment fund
HU,Other legal forms,Open-ended investment company
HU,Other legal forms,Government company
HU,Other legal forms,Tutorial association
ID,Companies with unknown/unrecorded legal form,NA
ID,Private limited companies,Limited liability company - PT
ID,Other legal forms,Joint venture company
ID,Public limited companies,Insurance stock company
ID,Public limited companies,"Public limited company - Tbk., PT"
ID,Branches,Branch
ID,Foreign companies,Representative office
ID,Other legal forms,Foreign investment company
ID,Public authorities,Government body
ID,Non profit organisations,Association
ID,Other legal forms,State owned company - BUMN/BUMD
ID,Non profit organisations,Chamber of commerce
ID,Public authorities,Embassy
ID,Other legal forms,Local investment company - PMDN
ID,Other legal forms,Unit trust
ID,Other legal forms,Open-ended investment company
ID,Other legal forms,Fund
ID,Other legal forms,Investment company
ID,Public limited companies,Limited company
ID,Public limited companies,Corporation
ID,Private limited companies,Private limited company
IE,Foreign companies,Foreign company
IE,Private limited companies,Private limited company by shares
IE,Public limited companies,Public limited company
IE,Other legal forms,Private unlimited company
IE,Private limited companies,One-person private limited company
IE,Private limited companies,Designated activity company - limited by shares
IE,Other legal forms,Public unlimited company
IE,Companies with unknown/unrecorded legal form,NA
IE,Public limited companies,European company
IE,Non profit organisations,Limited company by guarantee
IE,Non profit organisations,Designated activity company - limited by guarantee
IE,Private limited companies,Private limited company
IE,Public limited companies,Public limited company with variable capital
IE,Other legal forms,Undertaking for collective investment in transferable securities - ucits
IE,Non profit organisations,One-person limited company by guarantee
IE,Public limited companies,"Public company, not quoted"
IE,Other legal forms,Private limited company by shares and by guarantee
IE,Other legal forms,Investment company
IE,Other legal forms,Unlimited company
IE,Other legal forms,Investment fund
IE,Other legal forms,Inward migrating company
IE,Other legal forms,Fund
IE,Other legal forms,Mutual fund for investment
IE,Other legal forms,Open-ended investment company
IE,Other legal forms,Unit trust
IE,Other legal forms,Unlisted closed-ended investment company
IE,Other legal forms,Closed-ended investment company
